title,price,ratings,reviews,availability
Apple iPhone 15 (128 GB) - Black,"59,500.",4.5 out of 5 stars,"3,848 ratings",In stock
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black","73,500.",4.4 out of 5 stars,737 ratings,In stock
"iPhone 16 Pro Max 256 GB: 5G Mobile Phone with Camera Control, 4K 120 fps Dolby Vision and a Huge Leap in Battery Life. Works with AirPods; Desert Titanium","1,35,900.",4.3 out of 5 stars,220 ratings,In stock
Apple iPhone 15 (128 GB) - Black,"59,500.",4.5 out of 5 stars,"3,848 ratings",In stock
Apple iPhone 15 (128 GB) - Pink,"59,500.",4.5 out of 5 stars,"3,848 ratings",In stock
Apple iPhone 15 (128 GB) - Blue,"59,700.",4.5 out of 5 stars,"3,848 ratings",In stock
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Teal","73,500.",4.4 out of 5 stars,737 ratings,In stock
Apple iPhone 15 (256 GB) - Blue,"69,200.",4.5 out of 5 stars,"3,848 ratings",In stock
Apple iPhone 15 (256 GB) - Black,"69,200.",4.5 out of 5 stars,"3,848 ratings",In stock
Apple iPhone 13 (512 GB) - Green,"60,900.",4.5 out of 5 stars,"34,083 ratings",In stock
Apple iPhone 13 (512GB) - Starlight,"60,900.",4.5 out of 5 stars,"34,083 ratings",In stock
"iPhone 16e 128 GB: Built for Apple Intelligence, A18 Chip, Supersized Battery Life, 48MP Fusion. Camera, 15.40 cm (6.1″) Super Retina XDR Display; Black","53,600.",4.4 out of 5 stars,188 ratings,In stock
Apple iPhone 15 (128 GB) - Green,"59,900.",4.5 out of 5 stars,"3,848 ratings",In stock
Apple iPhone 14 (256 GB) - Midnight,"64,900.",4.5 out of 5 stars,"5,992 ratings",In stock
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Ultramarine","73,500.",4.4 out of 5 stars,737 ratings,In stock
Apple iPhone 13 (128GB) - Midnight,"43,900.",4.5 out of 5 stars,"34,083 ratings",
Apple iPhone 15 (256 GB) - Pink,"69,200.",4.5 out of 5 stars,"3,848 ratings",In stock
Apple iPhone 15 Plus (128 GB) - Black,"72,900.",4.6 out of 5 stars,"1,500 ratings",In stock
